Brand,Model,Battery,€/km of range*,0 - 100,Top Speed,Range*,Efficiency*,Fastcharge*,Price in Germany before incentives,Price in The Netherlands before incentives,Price in the United Kingdom after incentives,Approx. in USD based on source,Drive_Configuration
VINFAST,VF 8 Eco Extended Range,87.7,126,5.9,200,425,206,550,"52,990","53,900",N/A,"30,111",All Wheel Drive
ABARTH,500e Hatchback,37.8,172,7.0,155,225,168,370,"37,990","38,490","34,195","42,606",Front Wheel Drive
XPENG,P7 AWD Performance,82.7,130,4.1,200,460,180,740,"58,600","61,188",N/A,"34,183",All Wheel Drive
LOTUS,Emeya R,100,324,2.8,256,470,213,1090,"150,990","155,025","131,255","163,543",All Wheel Drive
SKODA,Enyaq RS,77,140,5.5,180,435,177,650,"61,050",N/A,"53,120","66,187",All Wheel Drive
VOLVO,EX40 Twin Motor Performance,79,161,4.6,180,380,208,570,"62,890","59,495",N/A,"33,237",All Wheel Drive
AUDI,SQ8 e-tron Sportback,106,218,4.5,210,480,221,610,"98,050","101,535","100,000","124,600",All Wheel Drive
MERCEDES-BENZ,EQE 500 4MATIC,90.6,200,4.7,210,505,179,750,"88,215","113,488",N/A,"63,401",All Wheel Drive
MERCEDES-BENZ,EQE AMG 53 4MATIC+,90.6,275,3.5,220,450,201,670,"110,706","128,613","114,750","142,978",All Wheel Drive
PORSCHE,Taycan Turbo,97,329,2.7,260,520,187,1140,"175,600","183,000","134,100","167,088",All Wheel Drive
GWM,ORA 3 GT,59.3,152,8.2,160,325,182,280,"49,490",N/A,N/A,"52,459",Front Wheel Drive
PORSCHE,Taycan 4 Cross Turismo,97,227,4.7,220,505,192,1110,"113,100","119,400","96,800","120,612",All Wheel Drive
MERCEDES-BENZ,EQE SUV AMG 53 4MATIC+,90.6,353,3.5,240,410,221,610,"139,438","149,788",N/A,"83,680",All Wheel Drive
MERCEDES-BENZ,EQE SUV AMG 43 4MATIC,90.6,308,4.3,210,415,218,620,"124,920","130,791",N/A,"73,067",All Wheel Drive
NISSAN,Ariya e-4ORCE 87kWh - 290 kW,87,168,5.1,200,405,215,480,"71,490","64,990",N/A,"36,307",All Wheel Drive
VOLVO,EC40 Twin Motor Performance,79,157,4.6,180,400,198,600,"64,390","60,995",N/A,"34,075",All Wheel Drive
SKODA,Enyaq Coupe 60,58,134,8.8,160,355,163,480,"46,850","47,990",N/A,"26,810",Rear Wheel Drive
NIO,ET5 Touring 75 kWh,70.5,160,4.0,200,385,183,570,"59,500","63,900",N/A,"35,698",All Wheel Drive
PORSCHE,Taycan Plus Sport Turismo,97,212,4.8,230,515,188,1130,"108,124","114,144","91,754","114,325",Rear Wheel Drive
MERCEDES-BENZ,EQS SUV 500 4MATIC,118,257,5.3,210,530,223,670,"124,545","148,173",N/A,"82,778",All Wheel Drive
VOLKSWAGEN,ID. Buzz LWB Pro,77,210,7.9,160,335,230,460,"70,000","70,000","62,000","77,252",Rear Wheel Drive
KIA,e-Soul 39.2 kWh,39.2,164,9.9,157,230,170,200,N/A,N/A,"32,875","40,962",Front Wheel Drive
PEUGEOT,e-5008 73 kWh Dual Motor,73,154,6.0,170,365,200,420,"55,000","55,000","51,000","63,546",All Wheel Drive
PORSCHE,Taycan 4S Cross Turismo,97,247,3.8,240,505,192,1110,"126,400","132,600","100,400","125,098",All Wheel Drive
MERCEDES-BENZ,eVito Tourer Long 90 kWh,90,245,12.1,160,320,281,320,"72,043","84,773",N/A,"47,359",Front Wheel Drive
SMART,#1 Pulse,62,142,4.5,180,325,191,500,"46,490","46,055",N/A,"25,729",All Wheel Drive
ELARIS,BEO 86 kWh,81,136,8.0,150,390,208,290,"53,090",N/A,N/A,"56,275",Front Wheel Drive
FIAT,500e 3+1 24 kWh,21.3,230,9.0,135,135,158,230,N/A,"30,990",N/A,"17,312",Front Wheel Drive
AIWAYS,U6,60,138,7.0,160,350,171,430,"47,588","48,975",N/A,"27,360",Front Wheel Drive
PORSCHE,Taycan Turbo S Cross Turismo,97,434,2.5,250,475,204,1050,"211,300","220,400","162,500","202,475",All Wheel Drive
GENESIS,GV60 Sport Plus,74,206,4.0,235,365,203,950,"73,100",N/A,"67,505","84,111",All Wheel Drive
FIAT,500e Cabrio 24 kWh,21.3,250,9.0,135,135,158,230,"35,490","31,990",N/A,"17,871",Front Wheel Drive
VINFAST,VF 8 Plus Extended Range,87.7,140,5.5,200,425,206,550,"58,890","59,790",N/A,"33,402",All Wheel Drive
ABARTH,500e Convertible,37.8,186,7.0,155,225,168,370,"40,990","41,490","37,195","46,344",Front Wheel Drive
NIO,EL6 75 kWh,70.5,191,4.5,200,350,201,520,"65,500","67,900",N/A,"37,933",All Wheel Drive
GENESIS,GV60 Sport,74,171,5.5,200,380,195,990,"63,200",N/A,"58,365","72,722",All Wheel Drive
PORSCHE,Taycan 4S Plus Sport Turismo,97,254,3.7,250,495,196,1090,"127,322","133,631","100,996","125,841",All Wheel Drive
PORSCHE,Taycan Sport Turismo,82.3,233,4.8,230,445,185,980,"102,400","108,100","87,300","108,775",Rear Wheel Drive
PORSCHE,Taycan Turbo Cross Turismo,97,348,2.8,250,495,196,1090,"177,000","184,500","135,200","168,459",All Wheel Drive
NIO,EL7 75 kWh,70.5,257,3.9,200,340,207,510,"85,900","88,900",N/A,"49,664",All Wheel Drive
PORSCHE,Taycan 4S Sport Turismo,82.3,280,3.7,250,430,191,950,"121,800","127,800","96,700","120,488",All Wheel Drive
MERCEDES-BENZ,EQV 250 Extra-Long,60,363,12.0,160,210,286,200,"76,217",N/A,N/A,"80,790",Front Wheel Drive
PORSCHE,Taycan Turbo S Sport Turismo,97,447,2.4,260,460,211,1010,"210,800","219,900","162,100","201,976",All Wheel Drive
MERCEDES-BENZ,eVito Tourer Long 60 kWh,60,311,12.0,160,220,273,210,"68,398",N/A,N/A,"72,501",Front Wheel Drive
PORSCHE,Taycan Turbo Sport Turismo,97,366,2.7,260,470,206,1030,"176,600","184,000","134,800","167,960",All Wheel Drive
MERCEDES-BENZ,eVito Tourer Extra-Long 60 kWh,60,322,12.0,160,215,279,200,"69,309",N/A,N/A,"73,467",Front Wheel Drive
MERCEDES-BENZ,EQV 250 Long,60,350,12.0,160,215,279,200,"75,282",N/A,N/A,"79,798",Front Wheel Drive
ALFA ROMEO,Junior Elettrica 54 kWh,50.8,129,9.0,150,315,161,500,"39,500","41,000","36,000","44,856",Front Wheel Drive
ALFA ROMEO,Junior Elettrica 54 kWh Veloce,50.8,154,7.0,150,305,167,490,"46,000","47,000","42,000","52,332",Front Wheel Drive
