Brand,Model,Battery,€/km of range*,0 - 100,Top Speed,Range*,Efficiency*,Fastcharge*,Price in Germany before incentives,Price in The Netherlands before incentives,Price in the United Kingdom after incentives,Approx. in USD based on source,Drive_Configuration
TESLA,Model X Plaid,95,271,2.8,262,455,209,630,"115,970","115,993","120,000","149,520",All Wheel Drive
SKODA,Enyaq Coupe 85,77,109,6.7,180,480,160,720,"51,150","52,990","46,440","57,864",Rear Wheel Drive
BYD,SEAL U 87 kWh Design,87,114,9.6,175,405,215,370,N/A,"45,990",N/A,"25,692",Front Wheel Drive
OPEL,Mokka-e 50 kWh,46.3,154,9.2,150,260,178,420,"40,650","36,999","36,610","45,616",Front Wheel Drive
KIA,EV9 99.8 kWh RWD,96,159,9.4,185,450,213,850,"72,490","67,995","64,995","80,983",Rear Wheel Drive
VOLVO,EX40 Single Motor ER,79,135,7.3,180,400,198,600,"55,490","51,995","47,705","59,440",Rear Wheel Drive
XPENG,G6 RWD Long Range,87.5,102,6.7,200,490,179,980,"50,000","50,000",N/A,"27,933",Rear Wheel Drive
MERCEDES-BENZ,EQS 580 4MATIC,108.4,267,4.3,210,590,184,880,"141,705","173,825",N/A,"97,109",All Wheel Drive
BMW,i5 M60 xDrive Sedan,81.2,254,3.8,230,420,193,670,"99,500","108,427","97,745","121,790",All Wheel Drive
RENAULT,Zoe ZE50 R135,52,117,9.5,140,310,168,230,"37,840","36,195","29,995","37,373",Front Wheel Drive
HYUNDAI,Kona Electric 48 kWh,48.4,138,8.8,160,295,164,280,"41,990","39,995","34,995","43,603",Front Wheel Drive
MG,ZS EV Standard Range,49,132,8.6,175,265,185,250,"33,990","35,885","30,495","37,996",Front Wheel Drive
POLESTAR,4 Long Range Single Motor,94,133,7.4,180,495,190,670,"63,200","64,800","59,990","74,747",Rear Wheel Drive
VOLKSWAGEN,ID.7 Tourer Pro,77,130,6.6,180,460,167,710,"54,795","58,990","57,000","71,022",Rear Wheel Drive
PEUGEOT,e-208 50 kWh,46.3,127,9.0,150,290,160,460,"37,475","35,870","32,650","40,681",Front Wheel Drive
AUDI,Q8 e-tron Sportback 55 quattro,106,168,5.6,200,525,202,660,"87,550","85,385","80,300","100,053",All Wheel Drive
MG,MG4 Electric XPOWER,61.7,137,3.8,200,320,193,560,"46,990","42,285","36,495","45,472",All Wheel Drive
VOLKSWAGEN,ID.7 Tourer GTX,86,142,6.0,180,480,179,770,"65,000","65,000","65,000","80,990",All Wheel Drive
POLESTAR,2 Standard Range Single Motor,67,118,6.4,205,405,165,480,"46,275","44,950","44,950","56,007",Rear Wheel Drive
MERCEDES-BENZ,EQA 250+,70.5,129,8.6,160,420,168,500,"52,205","52,546","49,750","61,988",Front Wheel Drive
SKODA,Enyaq 60,58,133,8.7,160,335,173,450,"44,200","44,990","38,970","48,556",Rear Wheel Drive
FIAT,600e,50.8,121,9.0,150,305,167,490,"36,490","35,990","32,995","41,111",Front Wheel Drive
PORSCHE,Taycan Plus,97,193,4.8,230,560,173,1230,"107,224","113,044","90,954","113,328",Rear Wheel Drive
POLESTAR,2 Long Range Dual Motor,79,125,4.5,205,450,176,670,"52,275","55,200","52,950","65,975",All Wheel Drive
VOLKSWAGEN,ID. Buzz GTX,79,229,6.5,160,335,236,520,"75,000","75,000","70,000","87,220",All Wheel Drive
MINI,Cooper SE,49,124,6.7,170,310,158,440,"36,900","38,990","34,500","42,987",Front Wheel Drive
PORSCHE,Taycan Turbo GT,97,494,2.3,290,475,204,1050,"240,000","249,900","186,300","232,129",All Wheel Drive
POLESTAR,4 Long Range Dual Motor,94,158,3.8,200,465,202,630,"71,200","72,800","66,990","83,469",All Wheel Drive
NIO,EL6 100 kWh,90,174,4.5,200,435,207,630,"74,500","76,900",N/A,"42,960",All Wheel Drive
MERCEDES-BENZ,EQE 300,89,137,7.3,210,525,170,660,"67,187","69,928","68,810","85,737",Rear Wheel Drive
DACIA,Spring Electric 65 Extreme,25,153,13.7,125,160,156,170,"24,550",N/A,N/A,"26,023",Front Wheel Drive
NISSAN,Leaf e+,59,121,6.9,157,340,174,240,"41,100",N/A,N/A,"43,566",Front Wheel Drive
RENAULT,5 E-Tech 40kWh 95hp,40,97,10.0,140,260,154,-,"25,000","25,000","22,000","27,412",Front Wheel Drive
VOLKSWAGEN,ID.7 Tourer Pro S,86,126,7.0,180,505,170,810,"61,000","61,000","60,000","74,760",Rear Wheel Drive
MERCEDES-BENZ,EQB 350 4MATIC,66.5,187,6.2,160,345,193,500,"58,197","69,728","56,810","70,785",All Wheel Drive
VOYAH,Free 106 kWh,100,154,4.4,200,480,208,360,N/A,"74,150",N/A,"41,424",All Wheel Drive
PEUGEOT,e-5008 73 kWh,73,143,9.0,170,370,197,430,"52,000","52,000","48,000","59,808",Front Wheel Drive
CUPRA,Tavascan VZ,77,141,5.6,180,430,179,640,"58,000","60,000","55,000","68,530",All Wheel Drive
VOLVO,EX40 Twin Motor,79,164,4.8,180,385,205,570,"59,590",N/A,"57,805","72,025",All Wheel Drive
PORSCHE,Taycan,82.3,212,4.8,230,485,170,1070,"101,500","107,000","86,500","107,779",Rear Wheel Drive
SMART,#3 Brabus,62,153,3.7,180,335,185,520,"50,990","50,895","45,000","56,070",All Wheel Drive
FORD,Mustang Mach-E ER AWD,91,156,5.8,180,445,204,390,"65,900","66,940","65,405","81,494",All Wheel Drive
VOLKSWAGEN,ID.4 Pro 4MOTION,77,119,6.6,180,425,181,630,"49,020","51,990",N/A,"29,044",All Wheel Drive
BMW,iX M60,105.2,286,3.8,250,485,217,650,"136,100","138,383","122,775","152,977",All Wheel Drive
PEUGEOT,e-2008 54 kWh,50.8,136,9.1,150,300,169,480,"39,450","41,270","36,350","45,292",Front Wheel Drive
VOLKSWAGEN,ID.5 Pro,77,118,6.7,180,455,169,680,"48,970","53,990","50,940","63,471",Rear Wheel Drive
VOLVO,EX40 Single Motor,67,144,7.3,180,345,194,530,"49,990","45,995","45,955","57,259",Rear Wheel Drive
VOLKSWAGEN,ID.3 Pro S - 4 Seats,77,106,7.9,160,455,169,680,"47,595","47,990","42,870","53,416",Rear Wheel Drive
PEUGEOT,e-308,50.8,150,9.8,170,300,169,450,"44,765","42,070","42,025","52,363",Front Wheel Drive
OPEL,Corsa Electric 50 kWh,46.3,121,8.7,150,295,157,470,"34,650","34,999","32,445","40,426",Front Wheel Drive
GWM,ORA 3 48 kWh,45.4,146,8.3,160,260,175,240,"38,990",N/A,"31,995","39,865",Front Wheel Drive
VOLKSWAGEN,ID.4 Pure,52,150,9.0,160,285,182,360,"40,335","44,990",N/A,"25,134",Rear Wheel Drive
PEUGEOT,e-208 51 kWh,48.1,123,8.2,150,310,155,480,"40,325","37,170","32,400","40,370",Front Wheel Drive
XPENG,P7 Wing Edition,82.7,155,4.1,200,455,182,730,"69,600","71,188",N/A,"39,769",All Wheel Drive
KIA,EV6 Standard Range 2WD,54,148,8.5,185,305,177,750,"46,990","43,495",N/A,"24,298",Rear Wheel Drive
NISSAN,Ariya 63kWh,63,137,7.5,160,335,188,450,"47,490","44,990","39,645","49,397",Front Wheel Drive
LUCID,Air Touring,92,173,3.2,250,580,159,970,"99,000","102,000",N/A,"56,983",All Wheel Drive
CITROEN,e-C4 X,46.3,132,9.7,150,285,162,460,"37,540","38,680","31,995","39,865",Front Wheel Drive
XPENG,G9 RWD Long Range,93.1,130,6.4,200,480,194,1120,"61,600","63,188",N/A,"35,300",Rear Wheel Drive
MG,Marvel R,70,125,7.9,200,365,192,400,"46,990","44,485",N/A,"24,851",Rear Wheel Drive
SKODA,Enyaq 85x,77,122,6.6,180,440,175,660,"51,150",N/A,"48,605","60,561",All Wheel Drive
POLESTAR,3 Long Range Dual motor,107,177,5.0,210,490,218,640,"85,590","86,950","75,900","94,571",All Wheel Drive
PEUGEOT,e-5008 98 kWh Long Range,98,125,9.7,170,490,200,640,"60,000","60,000","55,000","68,530",Front Wheel Drive
CUPRA,Born VZ,79,112,5.7,160,460,172,690,"50,000","50,000","47,000","58,562",Rear Wheel Drive
JAGUAR,I-Pace EV400,84.7,235,4.8,200,380,223,360,"92,400","95,450","69,995","87,213",All Wheel Drive
SSANGYONG,Korando e-Motion,56,139,8.5,156,290,193,330,"40,490","39,990",N/A,"22,340",Front Wheel Drive
VINFAST,VF 9 Extended Range,123,174,6.5,200,520,237,520,"89,790","91,300",N/A,"51,005",All Wheel Drive
AUDI,Q4 e-tron 45 quattro,77,145,6.6,180,395,195,590,"54,950","56,865","52,175","65,010",All Wheel Drive
BMW,iX2 eDrive20,64.7,134,8.6,170,395,164,530,"49,400","49,976","51,615","64,312",Front Wheel Drive
VOLVO,EX90 Twin Motor,107,209,5.9,180,465,230,610,"91,700","88,995","96,255","119,933",All Wheel Drive
LOTUS,Eletre R,109,326,2.9,260,455,240,950,"151,990","154,090","121,305","151,146",All Wheel Drive
VOLKSWAGEN,ID.4 GTX,77,140,5.4,180,420,183,630,"53,255","60,990","53,865","67,115",All Wheel Drive
BMW,i5 eDrive40 Touring,81.2,170,6.1,193,455,178,730,"72,200","79,622","69,945","87,151",Rear Wheel Drive
XPENG,G9 RWD Standard Range,75.8,148,6.4,200,395,192,830,"57,600","59,188",N/A,"33,065",Rear Wheel Drive
VOLVO,EC40 Single Motor ER,79,137,7.3,180,420,188,630,"57,190","53,495","54,305","67,664",Rear Wheel Drive
AUDI,SQ6 e-tron,94.9,225,4.3,230,445,213,890,"93,800","100,000","92,950","115,815",All Wheel Drive
MERCEDES-BENZ,EQB 300 4MATIC,66.5,169,8.0,160,345,193,500,"55,519","61,379",N/A,"34,289",All Wheel Drive
XPENG,P7 RWD Long Range,82.7,102,6.7,200,495,167,800,"49,600","51,188",N/A,"28,596",Rear Wheel Drive
LOTUS,Emeya,100,206,4.2,250,530,189,1230,"106,400","109,685","96,255","119,933",All Wheel Drive
XPENG,G6 AWD Performance,87.5,125,4.1,200,480,182,960,"60,000","60,000",N/A,"33,519",All Wheel Drive
AUDI,Q8 e-tron 50 quattro,89,175,6.0,200,425,209,660,"74,400","71,385","67,800","84,478",All Wheel Drive
VOLVO,EX90 Twin Motor Performance,107,230,4.9,180,450,238,590,"96,800","98,495","100,555","125,291",All Wheel Drive
DACIA,Spring Electric 65,25,124,13.7,125,160,156,170,"20,000","20,950","15,995","19,929",Front Wheel Drive
MERCEDES-BENZ,EQS 450 4MATIC,108.4,189,5.6,210,610,178,910,"113,359","116,955",N/A,"65,338",All Wheel Drive
RENAULT,Megane E-Tech EV40 130hp,40,151,10.0,150,260,154,370,"42,000","36,370",N/A,"20,318",Front Wheel Drive
VOLKSWAGEN,ID.3 GTX,79,112,6.0,180,460,172,690,"50,000","50,000","47,000","58,562",Rear Wheel Drive
AUDI,Q4 e-tron 55 quattro,77,160,5.4,180,395,195,590,"59,000","64,615","57,125","71,177",All Wheel Drive
OPEL,Astra Sports Tourer Electric,50.8,141,9.3,170,310,164,500,"43,490","41,499","39,995","49,833",Front Wheel Drive
SKODA,Enyaq Coupe RS,77,139,5.5,180,455,169,680,"63,300","63,690","54,820","68,305",All Wheel Drive
FORD,Mustang Mach-E SR RWD,72.6,141,7.3,180,380,191,460,"55,800","46,300","50,830","63,334",Rear Wheel Drive
BMW,i7 M70 xDrive,101.7,381,3.7,250,490,208,730,"181,800","189,877","163,315","203,490",All Wheel Drive
NIO,ET7 100 kWh,90,183,3.8,200,505,178,530,"90,900","93,900",N/A,"52,458",All Wheel Drive
RENAULT,Kangoo E-Tech Electric,45,179,12.6,132,220,205,230,"39,300",N/A,N/A,"41,658",Front Wheel Drive
MASERATI,GranTurismo Folgore,83,480,2.7,320,420,198,980,"198,212","199,250","179,950","224,217",All Wheel Drive
PEUGEOT,e-2008 50 kWh,46.3,144,9.9,150,270,171,430,"38,600","39,270",N/A,"21,938",Front Wheel Drive
MG,Marvel R Performance,70,148,4.9,200,350,200,380,"50,990","52,485",N/A,"29,321",All Wheel Drive
AUDI,Q4 Sportback e-tron 45,77,132,6.7,180,435,177,650,"54,950","56,915","52,245","65,097",Rear Wheel Drive
XPENG,G6 RWD Standard Range,66,120,6.9,200,375,176,750,"45,000","45,000",N/A,"25,139",Rear Wheel Drive
CITROEN,e-C4 X 54 kWh,50.8,125,10.0,150,330,154,470,"41,540","40,680",N/A,"22,726",Front Wheel Drive
NIO,EL7 100 kWh,90,224,3.9,200,430,209,450,"94,900","97,900",N/A,"54,692",All Wheel Drive
LUCID,Air Pure RWD,92,153,4.7,200,565,163,940,"85,000","88,000",N/A,"49,162",All Wheel Drive
SMART,#3 Premium,62,130,5.8,180,355,175,550,"46,490","46,055","40,000","49,840",Rear Wheel Drive
OPEL,Corsa Electric 51 kWh,48.1,124,8.1,150,315,153,490,"38,045","37,999","35,475","44,201",Front Wheel Drive
AUDI,SQ8 e-tron,106,225,4.5,210,455,233,570,"95,800","99,135","97,500","121,485",All Wheel Drive
RENAULT,Megane E-Tech EV60 130hp,60,114,10.5,150,380,158,530,"47,000","39,370",N/A,"21,994",Front Wheel Drive
NISSAN,Townstar EV Passenger,45,178,12.6,132,225,200,230,"39,990",N/A,N/A,"42,389",Front Wheel Drive
RENAULT,Scenic E-Tech EV60 170hp,60,123,8.6,150,340,176,400,"41,400","42,470",N/A,"23,726",Front Wheel Drive
GENESIS,GV60 Premium,74,159,7.8,185,390,190,1020,N/A,N/A,"53,905","67,165",Rear Wheel Drive
BMW,i5 xDrive40 Sedan,81.2,171,5.4,215,455,178,730,"75,600","80,227",N/A,"44,819",All Wheel Drive
PORSCHE,Taycan 4S Plus,97,227,3.7,250,550,176,1210,"126,422","132,631","100,196","124,844",All Wheel Drive
SERES,3,51,146,8.9,155,260,196,240,N/A,"37,995",N/A,"21,226",Front Wheel Drive
BMW,i7 eDrive50,101.7,227,5.5,205,520,196,780,"115,700","122,463","100,205","124,855",Rear Wheel Drive
PORSCHE,Taycan Turbo GT Weissach,97,494,2.2,305,475,204,1050,"240,000","249,900","186,300","232,129",All Wheel Drive
MINI,Cooper E,37,147,7.3,160,235,157,360,"32,900","35,990","30,000","37,380",Front Wheel Drive
MERCEDES-BENZ,EQS SUV 450+,118,219,6.8,210,540,219,680,"110,801","125,425",N/A,"70,069",Rear Wheel Drive
FORD,Explorer Standard Range RWD,52,155,9.0,160,280,186,350,"42,500","41,450","39,875","49,684",Rear Wheel Drive
HONGQI,E-HS9 84 kWh,76.5,219,6.5,200,320,239,440,N/A,"69,995",N/A,"39,103",All Wheel Drive
MERCEDES-BENZ,EQE SUV 350 4MATIC,90.6,217,6.6,210,435,208,550,"89,548","99,089",N/A,"55,357",All Wheel Drive
GWM,ORA 3 63 kWh,59.3,125,8.2,160,340,174,290,"44,490",N/A,"34,995","43,603",Front Wheel Drive
FISKER,Ocean Sport,71,121,7.4,160,360,197,480,"43,900","43,990","36,900","45,977",Front Wheel Drive
MASERATI,Grecale Folgore,95,309,4.1,220,405,235,440,"124,301","124,600","109,905","136,941",All Wheel Drive
NISSAN,Ariya e-4ORCE 87kWh - 225 kW,87,144,5.7,200,405,215,480,"61,990","54,990","50,845","63,352",All Wheel Drive
NIO,ET5 Touring 100 kWh,90,146,4.0,200,485,186,700,"68,500","72,900",N/A,"40,726",All Wheel Drive
MINI,Countryman SE ALL4,64.7,138,5.6,180,370,175,500,"49,500","49,490","47,180","58,786",All Wheel Drive
DS,3 E-Tense,50.8,137,9.0,150,300,169,480,"40,540","39,640","37,200","46,351",Front Wheel Drive
VOLKSWAGEN,ID. Buzz LWB GTX,86,225,6.5,160,355,242,570,"78,000","78,000","73,000","90,958",All Wheel Drive
MG,MG5 Electric Standard Range,46,135,7.7,185,265,174,320,"35,490","35,885",N/A,"20,047",Front Wheel Drive
FORD,Mustang Mach-E GT,91,187,3.7,200,425,214,380,"77,300","75,200","74,540","92,876",All Wheel Drive
ZEEKR,X Long Range RWD,64,126,5.6,180,355,180,590,"45,970","43,490",N/A,"24,296",Rear Wheel Drive
MERCEDES-BENZ,EQS SUV Maybach 680,118,440,4.4,210,490,241,620,"200,634","216,780","200,000","249,200",All Wheel Drive
PEUGEOT,e-308 SW,50.8,151,9.0,150,300,169,450,"45,765","42,570","41,250","51,397",Front Wheel Drive
VOLVO,EC40 Twin Motor,79,160,4.8,180,400,198,600,"61,290",N/A,"57,805","72,025",All Wheel Drive
MERCEDES-BENZ,EQS SUV 580 4MATIC,118,303,4.7,210,530,223,670,"147,923","173,825","139,470","173,779",All Wheel Drive
POLESTAR,2 Long Range Performance,79,139,4.2,205,450,176,670,"58,775","61,700","57,950","72,205",All Wheel Drive
RENAULT,5 E-Tech 40kWh 120hp,40,107,9.0,140,260,154,340,"28,000","28,000","24,000","29,904",Front Wheel Drive
SKODA,Enyaq Coupe 85x,77,118,6.6,180,470,164,700,"53,400",N/A,"50,305","62,680",All Wheel Drive
CUPRA,Tavascan Endurance,77,122,6.8,180,450,171,670,"52,000","55,000","50,000","62,300",Rear Wheel Drive
VOLKSWAGEN,ID. Buzz LWB Pro S,86,199,8.0,160,370,232,470,"73,000","73,000","65,000","80,990",Rear Wheel Drive
SMART,#3 Pro,47,147,5.9,180,265,177,340,"38,490","38,395","35,000","43,610",Rear Wheel Drive
HONGQI,E-HS9 120 kWh,112,224,4.9,200,460,243,420,N/A,"102,995",N/A,"57,539",All Wheel Drive
XPENG,G9 AWD Performance,93.1,154,3.9,200,465,200,1080,"69,600","73,188",N/A,"40,887",All Wheel Drive
